Shimaore / Maore,Français
Piya ya mavuna yawo yavuu.,Toutes leurs récoltes brulèrent.
Rangu vhale wassumu henga,"""Depuis lors, ils le detestent"""
Wakatra zi nyole zahe,Ils lui coupèrent les cheveux
Mara ya handra watru wale kawakana tsi amba yawo.,"Au début, ce peuple là n'avait pas de terre à  eux."
Wakongiya na ulawa padzaju.,Ils entraient et sortaient du désert.
waye de aka Mukizi mbeli wawo.,C'est lui qui était leur chef
Atsahuwa shababi  lakohiriwa Houlam ake kapiteni wa madjeshi yahe.,Il choisit un jeune homme appelé Houlam pour être capitaine de son armée.
Meso wami nitsolimbala hari mwa mwana mulima uwo,"Demain, je me tiendrai sur cette petite montagne"
Marenga,Les espions
"Basi marenga habari yale uregeya yawo baanda ya suku arubayini, wamueledza","Alors, lorsque ces espions revinrent après quarante jours, lui expliquèrent:"
"Ringiya tsiju vhale warivheleha, ripara amba kweli iyo tsi ndjema ushindro dza mavuna mengi.","Nous sommes allés dans le pays ou tu nous as envoyés, nous avons trouvé que c'est vraiment un bon pays qui donne beaucoup de fruits."
"Tsayanu mavuna yayo. badi watru waiketsiyao, wao mahodari, amoesa ya malago yawo yendza nguvu.""","Voici les fruits de ce pays. Mais les gens qui y vivent sont forts, et leurs villes sont fortifiées."
Watru wale washiya u muro,Ce Peuple là a traversé la rivière
"Baanda ya u ufa wahe , watru watsaouha doimana wanguina",Après sa mort les gens ont choisi un autre chef
"""Murumwa wangu  afu"".",Mon serviteur est mort
"Ka mhodari, tsena na bari",Sois fort et courageux
Zi ngome zakozingidziya li dago  zikomowa,Les Murs qui Entouraient la Ville  Tombent
"Basi renga madjeshi yaho, namuzingidziye ha mindru li dago mara moja: namufanye i trongo iyo kula suku ata suku sita.""","""Alors prends tes soldats, et encerclez la ville une fois : faites cette chose chaque jour pendant six jours."""
Wami uhiriwa Fundi,Je m'appelle profeseur
"Wami ulagua shifarantsa na kreol, Basi wawe?","""Moi, je parle le français et le créole, et toi ?"""
Ko na wami.,Viens avec moi !
"Utsofanya egzersisi shifarantsani.,",Tu vas faire des exercices en français.
Usielewa fetre shifarantsa ?,Tu comprends bien le français ?
Ketsi !,Assieds toi !
Ritsoandrisa !,Nous allons commencer !
Itsohoma !,Ce sera long!
Usishange !,Ne t'inquiète pas !
Usielewa ?,Tucomprends ?
Tikadi,Continue !
Ikiri !,"C'est réussi, ça a marché"
Usijua uhisabu ?,Tu sais compter ?
"Rongoa dzinalaho moja, moja.",Epelles ton prénom un à un.
Soma moja moja,Lis les lettres.
Soma iyoyahangiwa,Lis ce qui est écrit
Soma imwangiho,Lis le texte.
Vulikia itarehi esa djibu ya maswala.,Ecoute l'histoire et réponds aux questions.
Utsorongoa  baanda ya,Tu me raconteras après.
Gege ?,"Bonjour, Comment tu vas ?"
Djema fundi.,Je vais bien maîtresse!
Usi dzikia gege leo ?,Comment tu te sens aujourd'hui ?
Ku si fetre.,Tu n'es pas bien?
Tsisidzikia fetre.,Je ne me sens pas bien !
Adamu na zi zinyama,Adam et les Animaux
"Mwandroni oho, kavhwaka ata shitru neka tsi de Monyezi Mungu weke wahe.","""Au commencement, il n'y avait rien, si ce n'est Dieu Tout-Puissant seul."""
Kavhwaka ata shiumbe iliyo na roho.,Il n'y avait aucune créature vivante.
"Mungu a moja,",Dieu est unique
"Waye ujuwa piya zi trongo, tsena ilm yahé ya kila  vhahanu.","""Il connait toutes choses, et sa science est partout."""
"Ulemengu riujuwao lewo, raha kayaka yaumbwa.",Le monde que nous connaissons aujourd'hui n'était pas encore crée.
Mungu aumbu piya ziliyo shivhandreju mwa tsi na mbinguni.,Dieu a crée toutes les choses qui sont sur la terre et dans le ciel.
Aumbu i heu.,Il a crée la lumière
"Amwesa aumbu na zi mbingu, ya mavingu na i shivhandre ya tsi.","""Et il créé les cieux, les nuages et la surface de la terre."""
"Aoumbou i bahari na i shivhandre ya tsi, amwesa na zi mimeya .","Il a crée la mer et la surface de la terre, et les plantes également"
Mutrumushe wa Adamu,La Femme d'Adam
"Mungu amuhetsi Adamu vhahali vhuzuri ,",Dieu plaça Adam dans un bel endroit
"Vhahanu vhale vouka miri ya ka kula namuna,","Là, il y'avait des arbres de toutes sortes"
Adamu akana kula namuna ya mbiya ndjema pare adye.,Adam avait toutes sortes de bons fruits pour manger.
Mungu amujudza Adamu ruhusa  madzina ya piya zi zinyama.,Dieu appris à Adam le nom de tous les animaux
ndrumme na ndzishe.,Mâles et femelles
Mungu amuumbu mutrumushe wa Adamu.,"""Dieu créea la femme d'Adam."""
"Mungu amuamurisha Adamu amba, ""Una ruhusa ya u diya zi mbiya za kula muri wameya vhanu, ila moja oulé valé""","""Dieu donna cet ordre à  Adam : Tu as la pemission de manger de tous les fruits qui se trouvent ici sauf celui qui ets là-bas"""
Badi Shetwani awanganya .,Mais Satan les trompa.
"Mara ya handra Shetwani aka mroumoi wa Mungu, Badi adzifanya mukaidi mbeli za Mungu amuumba.","Au début, Satan était un serviteur de Dieu, mais il devint rebelle contre le Dieu qui l'avait crée"
Rangu vhale Shetwani aja afanyishiha anduyi wa Mungu.,"Depuis lors, Satan est devenu l'ennemi de Dieu."
"Hari mwa li foto lini, risumuona i trongo yamupara Adamu baanda amuanswi Mungu.","Dans cette image, nous voyons ce qui arriva à  Adam après qu'il eut désobei  Dieu."
"Rangu u wakati ule, Shetwani a  anduyi ya Mungu na wanadamu.","""Depuis ce temps, Satan est l'ennemi de Dieu et des humains."""
Mutrume Nuhu na i marikabu bole yahe,Le Prophète Noé et sa Grande Arche
U wana wa Adamu na Hawa na zilembwe zawo waka wengi halisi.,Les fils et les filles d'Adam et Eve et leurs descendants étaient très nombreux.
"Wadungu zi ndziya za Shetwani, wakofanya trongo kazalazimu.","Ils suivirent les chemins de Satan, ils faisaient des choses mauvaises."
Uwo akohiriwa,Il s'appelait
Vhuka mutru  akodjerebu umujivhidza Mungu.,Il y avait un homme qui cherchait à  plaire à  Dieu.
ba la maji shivhandreju mwa tsi ile,Un déluge sur la surface de cette terre pour.
Wadzani wangu kawasitsaha naketzi nawao.,Mes copains n'ont pas voulu que je m'assoie avec eux.
Warungoa wami mgazidja,Ils ont dit que je suis comorien.
Warungoa wami comoru.,Ils ont dit je suis un comorien.
Ujaya hasera ?,Tu es en colère
"Ewa, tsi djaya hasera.",Oui je suis en colère
Nakotsaha ni wa bubue.,Je voulais les frapper
"Mungu, waye utsimidza ziwahadi zahe.","""Dieu, il accomplit ses promesses."""
"Basi, Nuhu na wadjamazahe vhumoja na zinyama zile zingiya moni mwa i marikabu.,","Alors, Noé et sa famille ainsi que les animaux entrèrent dans l'arche."
vuwa iandrisa ushuka.,"""La pluie commença à  tomber."""
Mukakamba,Arc en ciel
"Madzitso ya maji yakolawa vhotsi""",Les sources des grandes profondeurs jaillirent d'en bas
"Kula mwanadamu na piya zinyama zaka vhondze mwa i marikabu, zifu piya.","Chaque humain et tous les animaux qui étaient hors de l'arche, moururent tous."
Basi wanadamu kawagauha.,Alors les humains n'ont pas changé
zaidi ya mwaha,Plus d'un an
U wahadi wa Mungu,la Promesse de Dieu
wadjamazahe na zinyama piya,sa famille et tous les animaux
"Ata mwisoni i vuwa uziya yayo na ya maji uhuma yayo shivhandreju mwa tsi, walawa piyawo marikabuni.","Finalement, la pluie s'arrêta et les eaux se retirèrent de la surface de la terre, et tous sortirent de l'arche."
Azivudzu,Il les a brûlé
Amutoleya Mungu masadaka ya zinyama.,Il offrit à  Dieu des sacrifices d'animaux
Mungu ajivhiwa na waye,Dieu était satisfait de lui
Sa ile atowo wahadi,C'est ainsi qu'il fit la promesse
Munara,La tour
"Wanadamu piya shivhandreju mwa tsi, wao zilembwe .",Tous les humains sur la terre sont les descendants .
shivhandre ya tsi.,la surface de la terre.
"Wanadamu piya wakolaguwa luha moja, amwesa kawakotsaha watsambaliha kula vhahanu hari mwa i shivhandre ya tsi.","Tous les humains parlaient la même langue, et ils ne voulaient pas se disperser partout sur la surface de la terre."""
Kawamutuin Mungu,Ils n'ont pas obéi à Dieu
Aono tsena amba waka vale,Il vit aussi qu'ils étaient là
Vhanu risuona mutru ahiriwao  Soilihi.,"Ici, nous voyons un homme appelé Salih."
"Soilihi akomwambudu Mungu wa kweli kana wa vhili, kakotsaha adunga zi ndziya za Shetwani.","Salih adorait le seul vrai Dieu, il ne voulait pas suivre les chemins de Satan."
Akana wana watrubaba  na wana watrumama,Il avait des garçons et des filles
"Akowamiliya muswamaha ha Mungu, neka ha mufano waka wamukoso Mungu.","Il demandait pardon à  Dieu, au cas où ils auraient offensé Dieu."
Mungu ajivhiwa na waye.,Dieu était satisfait de lui.
Amutadjirisa.,Il l'a enrichi
Amubariki.,Il l'a bénit
"Akana mabangwe ya zinyama nyengi, akana na watru wa hazi wengi.","Il avait de nombreux troupeaux d'animaux, et il avait beaucoup de serviteurs."
amutoleya,Il lui enleva
wahadi,Promesse
Atsoka,Il serait
Waye,Lui
amwamurisha,Il lui ordonna
Atuin,Obeir
Marongozi,Dires
Ile yahe,C'est à lui
Navale,Alors que
Amueledza,Il lui expliqua
Ngome,Murs
li davou lé,Cette feuille là
Mtru baba ulé,Ce garçon là
Mtru muche ulé,Cette fille là
Zikomoha,sont détruits
Zipuliha,Sont tombés
Zikomowa,ont été détruits par quelqu'un (murs)
Zi ngome zakozingidziya li dago  zikomoha,Les murs qui entouraient la ville  sont tombés
Kaoumou,Peuple
Watru,Les gens
wakaketsi,Ils étaient asssis
wakoketsi,Ils habitaient
tobe,Camper
Na,De
lakohiriwa,Elle était appelé
Ule,celui-là
Tsihuvha,Je t'ai donné
Basi ivo,Sa suffit
namuzingidziye,Encerclez
mara,Fois
Mara moja,Une fois
Ata,Jusqu’à
Sita,Six
Saba,sept
Mafundi,Enseignants
Masadaka,Sacrifices
Tasadaki,Aumônes
nawakiliye,Aller/Marcher
Safina,Arche
Mukataba,Alliance
Mabaragumu,Trompettes
Mihononi hangu,Dans mes mains
Mihononi,Dans mains
hawo.,leurs.
Yamopara sa ya raru,Quand il sera 9 h
Wami,Je
uhiriwa,M'appelle
Ulagua,Parle
kreoli,Le creole
Basi wawe?,Et toi?
wami.,Moi!
Trusu,Trousse
yaho.,Ta
"Utsofanya,",Tu vas faire
Egzersisi,Exercices
shifarantsani.,En français
Usielewa,Tu comprends
Usielewa fetre shifarantsa ?,Tu comprends bien le français?
Usilagua,Tu parles
Mwana,Enfant / petit
Ketsi,Assieds-toi!
Itsohoma,Ce sera long
Usishange,Ne t'inquiètes pas
Usihelewa,Tu comprends ?
Utikadi,Continuer
Djitihadi,Effort
Ikiri,C'est réussi / C'est correct
Usijua,Tu sais
Usihangiha,Tu écris
Dzinalaho,Ton prénom
Soma,Lis
Iyo yahangiwa,Ce qui est écrit
"Soma iyo ya hangiwa (ce qui est écrit),",Lis ce qui est écrit
Usiona,Tu vois
Itarehi,Histoire
Djibu,Réponds
Utsonambiya,Tu me diras
Ikomo.,C'est terminé.
Narendre,Allons y!
Gege,Bonjour!
Jeje fundi.,Bonjour maitresse.
Usu dzikia jeje,Tu te sens comment ?
Leo,Aujourd'hui
Mrondro,Après Après-demain
Tsina,J'ai
Mashaka,Soucis
Mwandroni,Au commencement
Shumbe,Créature
Roho.,Âme.
A fou,Il es tmort
A trala,Il s'est enfui
A lawa,Il est sorti
Ujuwa,Il connait
Ulemengu,Le monde
Riujuwao,Que nous connaissons
kawaka,Ils n'étaient pas
waumbwa.,Crée
Aumbu,Il créa
Maingu,Nuages
Shivhandre,Surface
Atsapuwa,Il sépara
Bahari,Mer
Mimeya,Plantes
Yimeya.,Poussèrent
Mutrumushe,La femme
vhahali,Dans un endroit
vhuhiriwao,Qui est appelé
Amwambiya,Il lui dit
Avhuangaliye,Qu'il s'en occuppe
Vhwakomeya,Poussaient
Miri,Arbres
Namuna,Sortes
Hari Hari,Au milieu
uvhao,Qui donne
Uhayati.,La vie
Tsikana,J'avais
Ukana,Tu avais
Akana,Il avait
Mbiya,Graines
Ndjema,Bons
Pare,Pour
adye.,Qu'il mange
Amuvha,Il lui donna
Ruhusa,Permission
Akadze,Nommer
Madzina,Noms
Zinyama.,Zinyama
Ziumbe,Créatures
Zika,étaient
Amba,Que
Ndrumme,Mâles
Ndzishe.,Femelles
Mwanadamu,L'homme
Kazakomuhodza.,Elles ne lui faisaient pas de mal
kakana,Il n'avait pas
Munyahe,Partenaire
Amulazimu.,Approprié
Nyoha,Serpent
Zardin,Jardin
Una,Tu as
Vhanu,Ici
Ila,Sauf
Ulé,Celui là
mwamodya,Si vous mangez
Yakini,Certitude
Utsofa.,Tu mourras
Ritsofa,Nous mourrons
Watso fa,Ils mourront
Shetwani,Satan
Uanganya,Tromper
Mara handra,La première fois
Adzifanya,Il se fit
Mukaidi,Rebelle
Mbole,Plus grand
Afanyishiha,Il est devenu
Hawa,Eve
vhondze,Dehors
Mwa,Vous êtes
Foto,Image
Lini,Celle-ci
Risumuona,On le voit
Yamupara,Ce qui arriva à
Farudhwi,Obligatoire
Wafanya,Ils ont fait
Ulaanniwa,Tu a été maudit
Zasaliya.,Ce qui reste
Ajudza,Il a annoncé
Shilembwe,Descendance
Sibabu,à cause
Madhambi,péchés
wakofanya,ils faisaient
kazalazimu.,Qu'il ne fallait pas
Ajutsu,Il regretta
Vhuka,Il y'avait
Akodjerebu,Il tentait
Ngamidza,Détruire
Wanadamu,humains
Ijaya,Est rempli
Umani,Conflit
Dzifanyiye,Fais toi
vheleha,Envoie
Maji,Eau
Wandzani,Copains
kawasitsaha,Ils ne veulent pas
naketsi,Je vais m'asseoir
Warungoa,Ils ont dit
Comoru.,comorien.
Tsiji,Je ne sais pas
Nakotsaha,Je voulais
Utsimidza,Accomplir
Ziwahadi,les promesses
Wadjamazahe,Sa famille
Moni,A l'intérieur
Vuwa,Pluie
Iandrisa,ça a commencé
Ushuka.,Descendre
Madzitso,Yeux
Yakolawa,Il sortait
Vhotsi,En bas
Ifinikiwa,Sa a été couvert
Wafu,Ils sont morts
kawagauha.,Ils n'ont pas changé
Mwisoni,A  la fin
Uziya,Arrêter
Afanya,Il a fait
Mauri,Comme
"Li foto lini, lini foto lionesao suku Salim aparwa na usikitifu mubole.",Cette image est celle qui montre le jour où Salim a été frappé par un grand malheur
Watru wa hazi wahe waka wamuvhingiya habari mbovu.,Ses serviteurs venaient lui apporter de mauvaises nouvelles.
"Mutru wa hazi wa Salim aja kadimu, aka areme mbiyo ha ujo mwambiya amba maanduyi yaulu watru wa hazi wasaliya wahe, tsena wahibi piya zi nyombe na zi pundra zahe.","Le serviteur de Salim arriva le premier, courant pour lui dire que des ennemis avaient tué ses autres serviteurs, et volé tous ses boeufs et ses Ânes."
"Raha kamalidza urongowa trongo zile, na tsuwo mutru wa hazi wangina aja.",Il n'a pas fini de parler que soudainement un deuxième serviteur arriva
"Ajudzu amba  peni ireme ya mabaribari na watsunga wayo, wafu piya.","Il annonça que la foudre avait frappé les brebis et leurs bergers, et qu'ils étaient tous morts."
Mutru wa hazi wa raru aja ha ujo mwambiya,Le troisième serviteur arriva pour lui dire...
Asu kuwa,Il se gratte
Zondra,Plaies
Falasika,Verre
Bayi la falasika,Morceau de verre
Uwade wa peu halisi.,Une maladie  très grave
Zitru ndjema,Les bonnes choses
Zitru mbovu,Les mauvaise choses
Watru wararu mengoni mwa,Trois hommes parmi.
Aregezewa namuna yahe aka,"Il a retroiuvé son état Initial,"
Andre toba,Il s'est repenti
"Hari mwa li foto lini,  angala, amwesa a tadjiri raha.","Dans cette image il est en bonne santé, et il est redevenu riche."
"Wandzani wangu, nisutsaha numutoleyeni hadisi .","""Mes amis, je veux vous raconter une histoire"""
Mara ya handra akohiriwa Ben Yamine,"Au début, il s'appelait Ben yamine"
Ben yamine asulawa hahe,Ben yamine Part de chez Lui
Wasendra hari mwa musafara,Ils partent en voyage
Umira ?,Tu es enceinte ?
Tsi lili.,J'ai pleuré
Nari zunguwe chuhara.,Il faut chercher une solution
Uadisi na mutru bole ?,Tu en as parlé avec un adulte ?
"Ewa, tsi  mwambia fundi yangu.",Oui je l'ai dit à mon professeur
Rilagua na fundi wangu yapatana ubaguzi wa range.,On a fait un débat avec mon professeur à  propos du racisme.
"Leo, tsijiviwa.","Aujourd'hui, je suis contente."
Avasa nisigadza na wao.,Maintenant je joue avec eux !
"Hari mwa li foto lini muliangaliyao, vhwa wananya waili.","Dans la photo que vous regardez, il y a deux frères"
Akojuwa swafi afanye hazi za voindze aka chechera,"Il savait bien faire les travaux de plein air , il était chasseur"
I suku mwananyahe mutiti aka apihi shahula ndjema.,"Un jour, son  petit frère a cuisiné un bon repas."
Ndzozi yahé,Son rêve
"Abdou  akomuenga Yahya , akotsaha amuule.","Abdou détestait Jean baptiste, il cherchait à le tuer."
"Ha izo, Yahya aka alazimu atrale dagoni hahe.","Pour cette raison, Jen baptiste fut obligé de fuir sa maison."
Wanadamu piya shivhandreju mwa tsi .,Tous les humains sur terre
Nisuka vhumoja na wawe,Je serai avec toi
"Farouk aendreleya na i trongo ya udanganya watru, badi wakati waye tu ne arangamanyiwa.","Farouk continuait ses tromperies envers les gens, mais il fut à  son tour trompé."
"Basi alawa, ha ondro fanya hazi ha zama wahe.","Alors il partit, pour travailler chez son oncle"
Zama wahe akana wana watruwashe waili.,Son oncle avait deux filles.
"Basi Yahya akotsaha amulole u mutiti, Karima.","Alors Farouk voulut épouser la plus jeune, Karima."
Afanya hazi maha saba pare alivhe  i mahari.,Il travailla sept anspour payer la dot.
"Badi zamahé amudanganya Faruku, amuvha u mwana mubole wahe amufungiye rabuzi.","Mais son oncle trompa Faruk, il lui donna sa fille ainée à marier d'abord."
Halafu amulazimisha Faruk afanye hazi maha saba raha ile ha umupara Karima.,"Ensuite, Il obligea Farouk à  travailler sept années de plus pour obtenir Karima."
"Mwisoni, piya zi zinyama ndjema","""Finalement, tous les bons animaux"
"Faruku akotsaha aregeye dagoni hahe, Badi akomuriya Anli, mana mutru adanganyao wanyahe, mara nyengi waye uriya i trongo ya ulivhiwa kiswa.","Farouk voulut retourner chez lui, mais il craignait Anli , car un homme qui trompe ses frères, est souvent obligé de payer les conséquences."""
"Uku wakati Faroukou aka ndziyani ha uregeya hahe, ajiliwa na Mutru.","Pendant que Farouk était en chemin pour rentrer chez lui, il fut abordé par un Homme."
Akana wana watrubaba kumi na moja.,Il avait onze fils.
U mwana akomuvhendza swafi de Miftahou.,L'enfant qu'il aimait le plus était Miftah.
Faroukou amuvha Miftahou kotri dzuzuri halisi.,Farouk donna à  Miftah une très belle tunique.
Wananyahe wa Miftaou wamuoneya uwivu.,Les frères de Miftah devinrent jaloux de lui.
"Vhuka uku, Miftah aono ndzozi.",il y'avait un jour Miftah a fait un rêve
Rakofunga mele shambani,Nous étions en train d'attacher des gerbes dans le champ
Wakati ule wananyahe waja hasera swafi.,À ce moment là ses frères étaient très en colère
Bacar asuudziwa,Bacar est Vendu
Wananyahe  wakotsunga mabangwe yawo mbali.,Ses frères  gardaient leurs troupeaux loin.
"Wakati ule babahé amwambiya Bacar: ""Endra wangaliye neka wananyaho wa fetre, wao vhumoja na mabangwe yawo, uje unijudze habari zawo.","À ce moment-là, son père lui dit : Va voir si tes frères vont bien, eux et leurs troupeaux, et viens me donner de leurs nouvelles."""
"Badi wananyahe umuona yawo amba asuja, wapanga fikira ya umuula.","Mais ses frères, en le voyant arriver, complotèrent de le tuer."
Wamu toleya kotri dzi zuri lahe,Ils lui enlevèrent sa belle tunique
Wamupulisa moni mwa chisima,Ils le jetèrent dans un puits
"Kayahoma,  vhuvhiri maudzizi biyashara.","Peu après cela  des marchands arrivèent."""
Maudzizi yale yamuudzu,Ces marchands le vendirent
Aja afanyishiha murumwa .,Il devint serviteur
Doimana,Responsable
"Mungu aka vhumoja na waye, amwesa ashindri hari mwa piya trongo akozifanya.","Dieu était avec Joseph, et il réussissait dans tout ce qu'il entreprenait."
Kayahoma,Cela n'a pas duré
Aka mwanahirimu muzuri.,Il était un beau jeune homme
"Na vhale, vuka mutrumushe akomutsaha.","Et là , il y'avait une femme qui le désirait."
Adjerebu umulazimisha alale na waye.,Elle essaya de le forcer à  coucher avec elle.
"Yusufu ajuwa amba iyo tsi trongo yalazimu, ata amuhara.","Il savait que ce n'était pas une bonne chose à  faire, il refusa."
Shivhani,Prison
Baanda ya vhavho vwa mtru aona ndzozi.,"Après cela, Un homme fit un rêve."
Aono nyombe zanyera .,Il vit sept vaches grasses
Nyombe tsala,Vaches maigres
Kavhwaka ata mutru akoshindra mueledza  i mana ya ndzozi yahe ile.,Il n'y avait personne qui pouvait expliquer  la signification de son rêve
Atowo amuri  atolwe shivhani.,Alors il  donna l'ordre qu'il soit tiré de prison.
i mana ya ndzozi yahe,La signification de son rêve
Mavuna,Moisson
"Hari mwa yi maha sita ya mavuna mema , Faroukouu angulidza mele mengi.","Pendant ces six années de bonnes moissons , Farouk amassa beaucoup de céréaless."
Vhuka ndza hari mwa i tsi za saliya.,Il y avait aussi la famine dans les autres pays.
Vouja watru wako jo nounoua zitru,Il y'a des gens qui sont venus acheter des choses
Kawajuwa amba u mutawalizi de waye,Ils ne savaient pas que c'était lui le responsable
Marenga,Espions
"Namunivhingiye u mwananyanyu mutiti""",Ramenez-moi votre jeune frère.
Awasikidza,Il les a accusé
uwidzi,Vol
Mwidzi,Voleur
Awasikidza na uwidzi,Il les a accusé de vol
Wamu vingi mwananyao mutiti,Ils ont emmené leur petit frère
Raha kawaambiya amba waye mwananyawo.,Il ne leur avait toujours pas dit qu'il était leur frère
Awalissi,Il les fit manger
watru wa hazi wahe,Ses serviteurs
Wananyahe piya,Tous ses frères
Wafungwa piyawo.,Ils ont été tous emprisonnés
"Basi shivhani vhale, vhuka warumwa waili .","Alors, il y avait en prison deux serviteurs"
Madipe na mihare,Des pains et des gateaux
waono ndzozi,Ils ont fait un rêve
Badi wakofikiri amba kawaka na mutru atsojuwao awaeledze zi mana za ndzozi zile.,Mais ils pensaient qu'il n'y avait personne qui pourrait leur expliquer la signification de ces rêves.
"Wakati ule  awaambiya: ""Afa ueledza i mana ya trongo, izo tsi ya Mungu?","À ce moment-là , il leur dit : Est-ce que l'explication des choses n'appartient pas à  Dieu ?"
Basi wa,Alors ils.
"Aka jivihwa wakati arenga piya udjama wahe na piya izo aka nazo, akondro ketsi Vhahali vwangina.","Il fut heureux lorsqu'il emmena toute sa famille et tout ce qu'il possédait, pour aller s'installer ailleurs."
"Umuona yahe mwana wahe , amuvhahara, walili wao waili.","""Quand il vit son fils , il le serra fort, et ils pleurèrent tous les deux."""
Mbeli vhavho waja wafanyishiha makizi mbeli,"Aprèss cela, ils devinrent des chefs importants"
Wakati ule wananyahe wariyi ha sibabu ya i trongo waka wamufanyiyayo.,"À ce moment-là , ses frères  eurent peur  cause de ce qu'ils lui avaient fait."
Miswiri,Egypte
Shetwani na madjiniyapéu yahé,Satanet ses diables
Mwamovulishiya i kaseti,Si vous écoutez la cassette
Mwamokiya swaouti,Si vous entendez un son
Wakati aka mwana zaza,Quand il était enfant
Aono mutru  akomububuwa mnyahe,"Un jour, il a vu quelqu'un en train de frapper l'autre"
Ha ivho Mnyahe akotsaha amusaidie be amuulu u mutru moja ule.,Suite à cela soncompagnon voulu l'aider mais tua l'adversaire
Atrala haouriya,Il s'est enfui par peur
Hari mwa muda wa maha arubayini,Pendant une période de quarante ans
Aono midjuza.,Il vit un miracle
Karendra trongo,Il ne lui est rien arrivé (personne)
kawarendra trongo,Il est resté intact (objet)
"""Tsiono heli watru wangu warendrwao mbovu""",J'ai vu comment les miens sont persecutés
Aregeya ha  mufalume,Il est retourné chez le roi
Musa Akoriya be aregeya,Il avait peur mais il est retourné
Mwananyahe adungana na waye.,Son frère l'accompagna
Padzani.,Dans le desert
Ruhussa,Permettre
Mbovu,Mal
Mungu arongowa,Dieu  a dit
"Directeur : Karibu, ngia, ketsi ! Trini yaidjiri leo ?","""Directeur : Entre, assieds-toi ! Que s'est-il passé aujourd'hui ?"""
Tsiwana namutru.,Je me suis battu avec quelqu'un
Manatrini ata wa wana ?,Pourquoi t'es-tu battu ?
Mana amuruhana mayangou.,Parce qui'l a insulté ma mère
Uwana na mbani ?,Tu t'es battu avec qui ?
Samuel.,Samuel.
Makati raka recreation.,Lors de la récréation
Usifanie tsena namneyo ! Muhire fundi ! Utsojuo uregeye avasavani classini !,Ne fais plus jamais sa ! Appelle le professeur ! Tu peux retrourner maintenant en classe !
Damu,Sang
Nitsovhira dagoni,Je passerai à la maison
Wana wa handra wa mayawo,Les premiers nés
Kavhwaka mtru,Il n' y avait personne
Wasuvhira  baharini,Ils passent par la mer
Moro,Feu
Walawa.,Ils sont partis
wawadungu  ha uwaregeza.,Ils les poursuivirent pour les ramener
Kawashindri,Ils ne peuvent pas
Kawakana ndziya ya utrala.,Ils n'avaient pas de moyen de fuir
Abwa ndziya,Il a ouvert un chemin
Shahula na Maji padzaju,Nourriture et Eau dans le Désert
Usingindza,Accuser
Nyunyi,Oiseaux
Kula asubuhi,Chaque matin
Ata wakati kavhwaka maji,À un moment il n'yavait pas d'eau
"""Mana trini mumanao na wami?",Pourquoi vous disputez vous avec moi ?
Mulima,Montagne
Dzina,Nom
Musurumiye,N'utilisez pas
Namuna kayalazimu,D'une manière inappropriée
Kamwalazimu mwaka na Mungu wangina. Mususudjudiye sanamwe litsokao yotsi ha uliambudu.,"Vous ne devez pas avoir d'autres dieux. Vous ne devez pas vous prosterner devant une idole de la terre pour l'adorer."""
Namunahane,Rappelez vous
Kamutso ula,Vous ne tuerez pas
Mutru namuhishimu babahe na mayahe.,Chacun honorera son père et sa mère.
Musuule,Ne tuez pas
Musufanye trongo za hawara,Vous ne commettrez pas d'adultère
Ngidzo,Pilier
Waka wanafiki,Ils étaient hypocrites
Asunguruma,Il murmure
Wengi mengoni mwawo wafu,Beaucoup d'entre eux moururent
Asulisa watru,Il nourrit des gens
Adzawa,Il est né
Wako lindra,Ils attendaient
Hari mwa maha mengi,Pendant de nombreuses années
Utenga,Isoler
Akosomedza watru trongo zapatana na Mungu,Il enseignait au peuple des choses concernant Dieu
Wandre,Ils sont allés
Waka ata waja waono ndza,Ils étaient là et eurent faim
Vhuka mwanamutsa vhale akana madipe matsano na wana fi waili.,Il y avait là  un jeune garçon qui avait cinq pains et deux poissons.
Ulisa,Nourrir
Arilisi piyassi,Il nous a tous nourri
Mtrume,Prophète
Wakaeshi maha mengi,Ils vécurent de nombreuses années
Nguwo zahe zija zifanyiha ndjeu pe.,Ses vêtements devinrent d'un blanc éclatant
Tsi hale atsofa,Il va bientôt mourir
Mzumari,Clou
Wao waka waidzi,Ils étaient des voleurs
Uangamifu kauna mupaka,Destruction sans fin
Wanadamu piya.,Tous les humains.
vhahanu vhwa mahukuma,Lieu de jugement
Basi ivo  !,Sa suffit !
Salama,En paix
Wami uhiriwa Marie-Claude.,Je m'appelle Marie-Claude.
"Ni si vumbua dzina langu. Emo, a, r, i, e, tshe, eli, a, u, de, he,","Je vais t'eppeler mon prénom. M, a, r, i, e, C, l, a, u, d, e"
Angiha !,Ecris !
Wawe uhiriwa mbani ?,Comment tu t'appelles ?
Wami uhiriwa Marie Seye.,Je m'appelle Marie Seye.
"Dzina la babaho de livi ?,",Quel est le  nom de ton père ?
Dzina la babangu de Seye.,Le nom  e mon père est Seye.
Dzina laho ?,Quel est ton prénom ?
Dzina langu de Marie.,Mon prénom est Marie.
Una maha mingavi ?,Tu as quel âge ?
Tsina maha kumi.,Jai 10 ans.
Jeje,Comment ça va ?
Wami de,Je me présente. Je m'appelle M.
Wami de principal adjoint ya colegie,Je suis Le Principal adjoint du collège
Wamide doimana,Je suis le responsable
"Wami de charge mission casnav/ de shefu/ de djikuma/ de fundiâ€¦,",Je suis la chargée de mission du CASNAV
